polarity,id,date,query,user,tweet,cleaned_tweet
0,2050874460,Fri Jun 05 19:26:58 PDT 2009,NO_QUERY,texanscowgirl,My mouth hurts bad!       .... can barely talk,mouth hurts bad ! .... barely talk
0,2327247591,Thu Jun 25 08:06:20 PDT 2009,NO_QUERY,CJ252,I am on the air and sooooooooo Hungry!!!! I don't think I can make it until 2 ,air hungry ! ! ! ! not think make 2
0,2222274785,Thu Jun 18 06:45:07 PDT 2009,NO_QUERY,Waaahsabi,"@alwh Yes indeed, and there seems to be lots of updates, some disputing going on within one of the parties etc...at work, cant follow all ","@ alwh yes indeed , seems lots updates , disputing going within one parties etc ... work , cant follow"
0,2065714088,Sun Jun 07 09:08:50 PDT 2009,NO_QUERY,clarissabby,Derrick does back to work today  and I'm just freakin sad about that.,derrick back work today freakin sad .
0,2243974296,Fri Jun 19 14:08:22 PDT 2009,NO_QUERY,mzprettieyez,got a tummy ache ,got tummy ache
0,2180138192,Mon Jun 15 10:03:42 PDT 2009,NO_QUERY,bfftaylor,@unjames I miss the puppy!  oh you too! ;) going back tonight for computer.,@ unjames miss puppy ! oh ! ; ) going back tonight computer .
0,2049160248,Fri Jun 05 16:24:01 PDT 2009,NO_QUERY,WgtnCoffeeCup,Not liking consumer mag's new website  Plus their freeview reports are practically from the dinosaur age. An update is way overdue!,not liking consumer mags new website plus freview reports practically dinosaur age . update way overdue !
0,1573839696,Tue Apr 21 03:06:03 PDT 2009,NO_QUERY,danielm,@TheKingOfSpain Too many wrinkles ,@ thekingofspain many wrinkles
0,1827553022,Sun May 17 10:57:24 PDT 2009,NO_QUERY,flor2009,"@TrudyG I'm sry. It's a very sad moment when that happens. My dog died in 2007, he was 15  But that's not gonna hapen 2 U dog, not now...","@ trudyg sry . sad moment happens . dog died 207 , 15 not gon na hapen 2 u dog , not ..."
0,2225333300,Thu Jun 18 10:35:33 PDT 2009,NO_QUERY,Ze_cucumber,Allergies suck more than a vaccume at a dirt convention ,allergies suck vacume dirt convention
